date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:39	119/119	---MC-	200	added ('OK')	text/plain	date:Thu,%2022%20Dec%202022%2023:17:38%20GMT	https://segredodoanopv.fun/robots.txt		(from )
20:17:42	72081/72081	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Dec%202022%2023:17:38%20GMT	https://segredodoanopv.fun/tik-tok-company/?gclid=EAIaIQobChMIjqi5z62O_AIVtOBcCh0wLg_dEAAYBCAAEgJkrvD_BwE	C:/Meus%20Sites/eeeeeeee/segredodoanopv.fun/tik-tok-company/indexf9a6.html	(from )
20:17:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2022%20Dec%202022%2023:17:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Meus%20Sites/eeeeeeee/www.googletagmanager.com/gtm.15445.delayed	(from https://segredodoanopv.fun/tik-tok-company/?gclid=EAIaIQobChMIjqi5z62O_AIVtOBcCh0wLg_dEAAYBCAAEgJkrvD_BwE)
20:17:43	433273/433273	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Dec%202022%2015:42:22%20GMT	https://segredodoanopv.fun/wp-content/litespeed/css/a8ce926fab7437c88bbc097dd6dfbb91.css?ver=4ccc7	C:/Meus%20Sites/eeeeeeee/segredodoanopv.fun/wp-content/litespeed/css/a8ce926fab7437c88bbc097dd6dfbb919ccb.css	(from https://segredodoanopv.fun/tik-tok-company/?gclid=EAIaIQobChMIjqi5z62O_AIVtOBcCh0wLg_dEAAYBCAAEgJkrvD_BwE)
20:17:43	72081/72081	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Dec%202022%2023:17:42%20GMT	https://segredodoanopv.fun/tik-tok-company/	C:/Meus%20Sites/eeeeeeee/segredodoanopv.fun/tik-tok-company/index.html	(from https://segredodoanopv.fun/tik-tok-company/?gclid=EAIaIQobChMIjqi5z62O_AIVtOBcCh0wLg_dEAAYBCAAEgJkrvD_BwE)
20:17:43	2555/2555	---MCZ	200	added ('OK')	application/javascript	etag:W/%22acf0937598cedc935fbdb2064ba01e53%22	https://scripts.converteai.net/0286f1f4-3335-446d-9fa8-2a680af1c4cc/players/634b2dc17783ee000ab0b4c5/player.js	C:/Meus%20Sites/eeeeeeee/scripts.converteai.net/0286f1f4-3335-446d-9fa8-2a680af1c4cc/players/634b2dc17783ee000ab0b4c5/player.js	(from https://segredodoanopv.fun/tik-tok-company/?gclid=EAIaIQobChMIjqi5z62O_AIVtOBcCh0wLg_dEAAYBCAAEgJkrvD_BwE)
20:17:44	654167/654167	---MCZ	200	added ('OK')	text/javascript	etag:W/%226cf3d91d0bf0283d755bf8b2b1a60f89%22	https://cdn.converteai.net/lib/js/smartplayer/v1/smartplayer.min.js	C:/Meus%20Sites/eeeeeeee/cdn.converteai.net/lib/js/smartplayer/v1/smartplayer.min.js	(from https://segredodoanopv.fun/tik-tok-company/?gclid=EAIaIQobChMIjqi5z62O_AIVtOBcCh0wLg_dEAAYBCAAEgJkrvD_BwE)
20:17:44	1374/1374	---M--	200	added ('OK')	image/jpeg	etag:%2240f3f28eb9ac31d48e0090d8657512a2%22	https://images.converteai.net/0286f1f4-3335-446d-9fa8-2a680af1c4cc/players/634b2dc17783ee000ab0b4c5/thumbnail.jpg	C:/Meus%20Sites/eeeeeeee/images.converteai.net/0286f1f4-3335-446d-9fa8-2a680af1c4cc/players/634b2dc17783ee000ab0b4c5/thumbnail.jpg	(from https://segredodoanopv.fun/tik-tok-company/?gclid=EAIaIQobChMIjqi5z62O_AIVtOBcCh0wLg_dEAAYBCAAEgJkrvD_BwE)
20:17:45	2569/2569	---MCZ	200	added ('OK')	application/javascript	etag:W/%228aa7c5585f47877d6e4bd72675cd1d29%22	https://scripts.converteai.net/0286f1f4-3335-446d-9fa8-2a680af1c4cc/players/634b31a514bd55000927dfb2/player.js	C:/Meus%20Sites/eeeeeeee/scripts.converteai.net/0286f1f4-3335-446d-9fa8-2a680af1c4cc/players/634b31a514bd55000927dfb2/player.js	(from https://segredodoanopv.fun/tik-tok-company/?gclid=EAIaIQobChMIjqi5z62O_AIVtOBcCh0wLg_dEAAYBCAAEgJkrvD_BwE)
20:17:45	1145/1145	---M--	200	added ('OK')	image/jpeg	etag:%2255f2724cc6d772a963b9f154aa5db7d7%22	https://images.converteai.net/0286f1f4-3335-446d-9fa8-2a680af1c4cc/players/634b31a514bd55000927dfb2/thumbnail.jpg	C:/Meus%20Sites/eeeeeeee/images.converteai.net/0286f1f4-3335-446d-9fa8-2a680af1c4cc/players/634b31a514bd55000927dfb2/thumbnail.jpg	(from https://segredodoanopv.fun/tik-tok-company/?gclid=EAIaIQobChMIjqi5z62O_AIVtOBcCh0wLg_dEAAYBCAAEgJkrvD_BwE)
